infinitive,gerund,present participle,past participle,compound verb,indicative|present|first person singular,indicative|present|second person singular,indicative|present|third person singular,indicative|present|first person plural,indicative|present|second person plural,indicative|present|third person plural,indicative|imperfect|first person singular,indicative|imperfect|second person singular,indicative|imperfect|third person singular,indicative|imperfect|first person plural,indicative|imperfect|second person plural,indicative|imperfect|third person plural,indicative|past historic|first person singular,indicative|past historic|second person singular,indicative|past historic|third person singular,indicative|past historic|first person plural,indicative|past historic|second person plural,indicative|past historic|third person plural,indicative|future|first person singular,indicative|future|second person singular,indicative|future|third person singular,indicative|future|first person plural,indicative|future|second person plural,indicative|future|third person plural,indicative|conditional|first person singular,indicative|conditional|second person singular,indicative|conditional|third person singular,indicative|conditional|first person plural,indicative|conditional|second person plural,indicative|conditional|third person plural,subjunctive|present|first person singular,subjunctive|present|second person singular,subjunctive|present|third person singular,subjunctive|present|first person plural,subjunctive|present|second person plural,subjunctive|present|third person plural,subjunctive|imperfect|first person singular,subjunctive|imperfect|second person singular,subjunctive|imperfect|third person singular,subjunctive|imperfect|first person plural,subjunctive|imperfect|second person plural,subjunctive|imperfect|third person plural,imperative|first person singular,imperative|second person singular,imperative|third person singular,imperative|first person plural,imperative|second person plural,imperative|third person plural
abroutir,abroutissant,abroutissant,abrouti,avoir,abroutis,abroutis,abroutit,abroutissons,abroutissez,abroutissent,abroutissais,abroutissais,abroutissait,abroutissions,abroutissiez,abroutissaient,abroutis,abroutis,abroutit,abroutîmes,abroutîtes,abroutirent,abroutirai,abroutiras,abroutira,abroutirons,abroutirez,abroutiront,abroutirais,abroutirais,abroutirait,abroutirions,abroutiriez,abroutiraient,abroutisse,abroutisses,abroutisse,abroutissions,abroutissiez,abroutissent,abroutisse,abroutisses,abroutît,abroutissions,abroutissiez,abroutissent,,abroutis,,abroutissons,abroutissez,
achaler,achalant,achalant,achalé,avoir,achale,achales,achale,achalons,achalez,achalent,achalais,achalais,achalait,achalions,achaliez,achalaient,achalai,achalas,achala,achalâmes,achalâtes,achalèrent,achalerai,achaleras,achalera,achalerons,achalerez,achaleront,achalerais,achalerais,achalerait,achalerions,achaleriez,achaleraient,achale,achales,achale,achalions,achaliez,achalent,achalasse,achalasses,achalât,achalassions,achalassiez,achalassent,,achale,,achalons,achalez,
accoutumer,accoutumant,accoutumant,accoutumé,avoir,accoutume,accoutumes,accoutume,accoutumons,accoutumez,accoutument,accoutumais,accoutumais,accoutumait,accoutumions,accoutumiez,accoutumaient,accoutumai,accoutumas,accoutuma,accoutumâmes,accoutumâtes,accoutumèrent,accoutumerai,accoutumeras,accoutumera,accoutumerons,accoutumerez,accoutumeront,accoutumerais,accoutumerais,accoutumerait,accoutumerions,accoutumeriez,accoutumeraient,accoutume,accoutumes,accoutume,accoutumions,accoutumiez,accoutument,accoutumasse,accoutumasses,accoutumât,accoutumassions,accoutumassiez,accoutumassent,,accoutume,,accoutumons,accoutumez,
alanguir,alanguissant,alanguissant,alangui,avoir,alanguis,alanguis,alanguit,alanguissons,alanguissez,alanguissent,alanguissais,alanguissais,alanguissait,alanguissions,alanguissiez,alanguissaient,alanguis,alanguis,alanguit,alanguîmes,alanguîtes,alanguirent,alanguirai,alanguiras,alanguira,alanguirons,alanguirez,alanguiront,alanguirais,alanguirais,alanguirait,alanguirions,alanguiriez,alanguiraient,alanguisse,alanguisses,alanguisse,alanguissions,alanguissiez,alanguissent,alanguisse,alanguisses,alanguît,alanguissions,alanguissiez,alanguissent,,alanguis,,alanguissons,alanguissez,
adjurer,adjurant,adjurant,adjuré,avoir,adjure,adjures,adjure,adjurons,adjurez,adjurent,adjurais,adjurais,adjurait,adjurions,adjuriez,adjuraient,adjurai,adjuras,adjura,adjurâmes,adjurâtes,adjurèrent,adjurerai,adjureras,adjurera,adjurerons,adjurerez,adjureront,adjurerais,adjurerais,adjurerait,adjurerions,adjureriez,adjureraient,adjure,adjures,adjure,adjurions,adjuriez,adjurent,adjurasse,adjurasses,adjurât,adjurassions,adjurassiez,adjurassent,,adjure,,adjurons,adjurez,
aggraver,aggravant,aggravant,aggravé,avoir,aggrave,aggraves,aggrave,aggravons,aggravez,aggravent,aggravais,aggravais,aggravait,aggravions,aggraviez,aggravaient,aggravai,aggravas,aggrava,aggravâmes,aggravâtes,aggravèrent,aggraverai,aggraveras,aggravera,aggraverons,aggraverez,aggraveront,aggraverais,aggraverais,aggraverait,aggraverions,aggraveriez,aggraveraient,aggrave,aggraves,aggrave,aggravions,aggraviez,aggravent,aggravasse,aggravasses,aggravât,aggravassions,aggravassiez,aggravassent,,aggrave,,aggravons,aggravez,
affiner,affinant,affinant,affiné,avoir,affine,affines,affine,affinons,affinez,affinent,affinais,affinais,affinait,affinions,affiniez,affinaient,affinai,affinas,affina,affinâmes,affinâtes,affinèrent,affinerai,affineras,affinera,affinerons,affinerez,affineront,affinerais,affinerais,affinerait,affinerions,affineriez,affineraient,affine,affines,affine,affinions,affiniez,affinent,affinasse,affinasses,affinât,affinassions,affinassiez,affinassent,,affine,,affinons,affinez,
adosser,adossant,adossant,adossé,avoir,adosse,adosses,adosse,adossons,adossez,adossent,adossais,adossais,adossait,adossions,adossiez,adossaient,adossai,adossas,adossa,adossâmes,adossâtes,adossèrent,adosserai,adosseras,adossera,adosserons,adosserez,adosseront,adosserais,adosserais,adosserait,adosserions,adosseriez,adosseraient,adosse,adosses,adosse,adossions,adossiez,adossent,adossasse,adossasses,adossât,adossassions,adossassiez,adossassent,,adosse,,adossons,adossez,
ajuster,ajustant,ajustant,ajusté,avoir,ajuste,ajustes,ajuste,ajustons,ajustez,ajustent,ajustais,ajustais,ajustait,ajustions,ajustiez,ajustaient,ajustai,ajustas,ajusta,ajustâmes,ajustâtes,ajustèrent,ajusterai,ajusteras,ajustera,ajusterons,ajusterez,ajusteront,ajusterais,ajusterais,ajusterait,ajusterions,ajusteriez,ajusteraient,ajuste,ajustes,ajuste,ajustions,ajustiez,ajustent,ajustasse,ajustasses,ajustât,ajustassions,ajustassiez,ajustassent,,ajuste,,ajustons,ajustez,
actionner,actionnant,actionnant,actionné,avoir,actionne,actionnes,actionne,actionnons,actionnez,actionnent,actionnais,actionnais,actionnait,actionnions,actionniez,actionnaient,actionnai,actionnas,actionna,actionnâmes,actionnâtes,actionnèrent,actionnerai,actionneras,actionnera,actionnerons,actionnerez,actionneront,actionnerais,actionnerais,actionnerait,actionnerions,actionneriez,actionneraient,actionne,actionnes,actionne,actionnions,actionniez,actionnent,actionnasse,actionnasses,actionnât,actionnassions,actionnassiez,actionnassent,,actionne,,actionnons,actionnez,
admonester,admonestant,admonestant,admonesté,avoir,admoneste,admonestes,admoneste,admonestons,admonestez,admonestent,admonestais,admonestais,admonestait,admonestions,admonestiez,admonestaient,admonestai,admonestas,admonesta,admonestâmes,admonestâtes,admonestèrent,admonesterai,admonesteras,admonestera,admonesterons,admonesterez,admonesteront,admonesterais,admonesterais,admonesterait,admonesterions,admonesteriez,admonesteraient,admoneste,admonestes,admoneste,admonestions,admonestiez,admonestent,admonestasse,admonestasses,admonestât,admonestassions,admonestassiez,admonestassent,,admoneste,,admonestons,admonestez,
alcooliser,alcoolisant,alcoolisant,alcoolisé,avoir,alcoolise,alcoolises,alcoolise,alcoolisons,alcoolisez,alcoolisent,alcoolisais,alcoolisais,alcoolisait,alcoolisions,alcoolisiez,alcoolisaient,alcoolisai,alcoolisas,alcoolisa,alcoolisâmes,alcoolisâtes,alcoolisèrent,alcooliserai,alcooliseras,alcoolisera,alcooliserons,alcooliserez,alcooliseront,alcooliserais,alcooliserais,alcooliserait,alcooliserions,alcooliseriez,alcooliseraient,alcoolise,alcoolises,alcoolise,alcoolisions,alcoolisiez,alcoolisent,alcoolisasse,alcoolisasses,alcoolisât,alcoolisassions,alcoolisassiez,alcoolisassent,,alcoolise,,alcoolisons,alcoolisez,
alentir,alentissant,alentissant,alenti,avoir,alentis,alentis,alentit,alentissons,alentissez,alentissent,alentissais,alentissais,alentissait,alentissions,alentissiez,alentissaient,alentis,alentis,alentit,alentîmes,alentîtes,alentirent,alentirai,alentiras,alentira,alentirons,alentirez,alentiront,alentirais,alentirais,alentirait,alentirions,alentiriez,alentiraient,alentisse,alentisses,alentisse,alentissions,alentissiez,alentissent,alentisse,alentisses,alentît,alentissions,alentissiez,alentissent,,alentis,,alentissons,alentissez,
affréter,affrétant,affrétant,affrété,avoir,affrète,affrètes,affrète,affrétons,affrétez,affrètent,affrétais,affrétais,affrétait,affrétions,affrétiez,affrétaient,affrétai,affrétas,affréta,affrétâmes,affrétâtes,affrétèrent,affrèterai;affréterai,affrèteras;affréteras,affrètera;affrétera,affrèterons;affréterons,affrèterez;affréterez,affrèteront;affréteront,affrèterais;affréterais,affrèterais;affréterais,affrèterait;affréterait,affrèterions;affréterions,affrèteriez;affréteriez,affrèteraient;affréteraient,affrète,affrètes,affrète,affrétions,affrétiez,affrètent,affrétasse,affrétasses,affrétât,affrétassions,affrétassiez,affrétassent,,affrète,,affrétons,affrétez,
acquérir,acquérant,acquérant,acquis,avoir,acquiers,acquiers,acquiert,acquérons,acquérez,acquièrent,acquérais,acquérais,acquérait,acquérions,acquériez,acquéraient,acquis,acquis,acquit,acquîmes,acquîtes,acquirent,acquerrai,acquerras,acquerra,acquerrons,acquerrez,acquerront,acquerrais,acquerrais,acquerrait,acquerrions,acquerriez,acquerraient,acquière,acquières,acquière,acquérions,acquériez,acquièrent,acquisse,acquisses,acquît,acquissions,acquissiez,acquissent,,acquiers,,acquérons,acquérez,
abhorrer,abhorrant,abhorrant,abhorré,avoir,abhorre,abhorres,abhorre,abhorrons,abhorrez,abhorrent,abhorrais,abhorrais,abhorrait,abhorrions,abhorriez,abhorraient,abhorrai,abhorras,abhorra,abhorrâmes,abhorrâtes,abhorrèrent,abhorrerai,abhorreras,abhorrera,abhorrerons,abhorrerez,abhorreront,abhorrerais,abhorrerais,abhorrerait,abhorrerions,abhorreriez,abhorreraient,abhorre,abhorres,abhorre,abhorrions,abhorriez,abhorrent,abhorrasse,abhorrasses,abhorrât,abhorrassions,abhorrassiez,abhorrassent,,abhorre,,abhorrons,abhorrez,
affilier,affiliant,affiliant,affilié,avoir,affilie,affilies,affilie,affilions,affiliez,affilient,affiliais,affiliais,affiliait,affiliions,affiliiez,affiliaient,affiliai,affilias,affilia,affiliâmes,affiliâtes,affilièrent,affilierai,affilieras,affiliera,affilierons,affilierez,affilieront,affilierais,affilierais,affilierait,affilierions,affilieriez,affilieraient,affilie,affilies,affilie,affiliions,affiliiez,affilient,affiliasse,affiliasses,affiliât,affiliassions,affiliassiez,affiliassent,,affilie,,affilions,affiliez,
absoudre,absolvant,absolvant,absous;absout,avoir,absous,absous,absout,absolvons,absolvez,absolvent,absolvais,absolvais,absolvait,absolvions,absolviez,absolvaient,,,,,,,absoudrai,absoudras,absoudra,absoudrons,absoudrez,absoudront,absoudrais,absoudrais,absoudrait,absoudrions,absoudriez,absoudraient,absolve,absolves,absolve,absolvions,absolviez,absolvent,,,,,,,,absous,,absolvons,absolvez,
agonir,agonissant,agonissant,agoni,avoir,agonis,agonis,agonit,agonissons,agonissez,agonissent,agonissais,agonissais,agonissait,agonissions,agonissiez,agonissaient,agonis,agonis,agonit,agonîmes,agonîtes,agonirent,agonirai,agoniras,agonira,agonirons,agonirez,agoniront,agonirais,agonirais,agonirait,agonirions,agoniriez,agoniraient,agonisse,agonisses,agonisse,agonissions,agonissiez,agonissent,agonisse,agonisses,agonît,agonissions,agonissiez,agonissent,,agonis,,agonissons,agonissez,
administrer,administrant,administrant,administré,avoir,administre,administres,administre,administrons,administrez,administrent,administrais,administrais,administrait,administrions,administriez,administraient,administrai,administras,administra,administrâmes,administrâtes,administrèrent,administrerai,administreras,administrera,administrerons,administrerez,administreront,administrerais,administrerais,administrerait,administrerions,administreriez,administreraient,administre,administres,administre,administrions,administriez,administrent,administrasse,administrasses,administrât,administrassions,administrassiez,administrassent,,administre,,administrons,administrez,
abâtardir,abâtardissant,abâtardissant,abâtardi,avoir;être,abâtardis,abâtardis,abâtardit,abâtardissons,abâtardissez,abâtardissent,abâtardissais,abâtardissais,abâtardissait,abâtardissions,abâtardissiez,abâtardissaient,abâtardis,abâtardis,abâtardit,abâtardîmes,abâtardîtes,abâtardirent,abâtardirai,abâtardiras,abâtardira,abâtardirons,abâtardirez,abâtardiront,abâtardirais,abâtardirais,abâtardirait,abâtardirions,abâtardiriez,abâtardiraient,abâtardisse,abâtardisses,abâtardisse,abâtardissions,abâtardissiez,abâtardissent,abâtardisse,abâtardisses,abâtardît,abâtardissions,abâtardissiez,abâtardissent,,abâtardis,,abâtardissons,abâtardissez,
abrutir,abrutissant,abrutissant,abruti,avoir,abrutis,abrutis,abrutit,abrutissons,abrutissez,abrutissent,abrutissais,abrutissais,abrutissait,abrutissions,abrutissiez,abrutissaient,abrutis,abrutis,abrutit,abrutîmes,abrutîtes,abrutirent,abrutirai,abrutiras,abrutira,abrutirons,abrutirez,abrutiront,abrutirais,abrutirais,abrutirait,abrutirions,abrutiriez,abrutiraient,abrutisse,abrutisses,abrutisse,abrutissions,abrutissiez,abrutissent,abrutisse,abrutisses,abrutît,abrutissions,abrutissiez,abrutissent,,abrutis,,abrutissons,abrutissez,
abouter,aboutant,aboutant,abouté,avoir,aboute,aboutes,aboute,aboutons,aboutez,aboutent,aboutais,aboutais,aboutait,aboutions,aboutiez,aboutaient,aboutai,aboutas,abouta,aboutâmes,aboutâtes,aboutèrent,abouterai,abouteras,aboutera,abouterons,abouterez,abouteront,abouterais,abouterais,abouterait,abouterions,abouteriez,abouteraient,aboute,aboutes,aboute,aboutions,aboutiez,aboutent,aboutasse,aboutasses,aboutât,aboutassions,aboutassiez,aboutassent,,aboute,,aboutons,aboutez,
accepter,acceptant,acceptant,accepté,avoir,accepte,acceptes,accepte,acceptons,acceptez,acceptent,acceptais,acceptais,acceptait,acceptions,acceptiez,acceptaient,acceptai,acceptas,accepta,acceptâmes,acceptâtes,acceptèrent,accepterai,accepteras,acceptera,accepterons,accepterez,accepteront,accepterais,accepterais,accepterait,accepterions,accepteriez,accepteraient,accepte,acceptes,accepte,acceptions,acceptiez,acceptent,acceptasse,acceptasses,acceptât,acceptassions,acceptassiez,acceptassent,,accepte,,acceptons,acceptez,
accourir,accourant,accourant,accouru,avoir,accours,accours,accourt,accourons,accourez,accourent,accourais,accourais,accourait,accourions,accouriez,accouraient,accourus,accourus,accourut,accourûmes,accourûtes,accoururent,accourrai,accourras,accourra,accourrons,accourrez,accourront,accourrais,accourrais,accourrait,accourrions,accourriez,accourraient,accoure,accoures,accoure,accourions,accouriez,accourent,accourusse,accourusses,accourût,accourussions,accourussiez,accourussent,,accours,,accourons,accourez,
abêtir,abêtissant,abêtissant,abêti,avoir,abêtis,abêtis,abêtit,abêtissons,abêtissez,abêtissent,abêtissais,abêtissais,abêtissait,abêtissions,abêtissiez,abêtissaient,abêtis,abêtis,abêtit,abêtîmes,abêtîtes,abêtirent,abêtirai,abêtiras,abêtira,abêtirons,abêtirez,abêtiront,abêtirais,abêtirais,abêtirait,abêtirions,abêtiriez,abêtiraient,abêtisse,abêtisses,abêtisse,abêtissions,abêtissiez,abêtissent,abêtisse,abêtisses,abêtît,abêtissions,abêtissiez,abêtissent,,abêtis,,abêtissons,abêtissez,
admettre,admettant,admettant,admis,avoir,admets,admets,admet,admettons,admettez,admettent,admettais,admettais,admettait,admettions,admettiez,admettaient,admis,admis,admit,admîmes,admîtes,admirent,admettrai,admettras,admettra,admettrons,admettrez,admettront,admettrais,admettrais,admettrait,admettrions,admettriez,admettraient,admette,admettes,admette,admettions,admettiez,admettent,admisse,admisses,admît,admissions,admissiez,admissent,,admets,,admettons,admettez,
additionner,additionnant,additionnant,additionné,avoir,additionne,additionnes,additionne,additionnons,additionnez,additionnent,additionnais,additionnais,additionnait,additionnions,additionniez,additionnaient,additionnai,additionnas,additionna,additionnâmes,additionnâtes,additionnèrent,additionnerai,additionneras,additionnera,additionnerons,additionnerez,additionneront,additionnerais,additionnerais,additionnerait,additionnerions,additionneriez,additionneraient,additionne,additionnes,additionne,additionnions,additionniez,additionnent,additionnasse,additionnasses,additionnât,additionnassions,additionnassiez,additionnassent,,additionne,,additionnons,additionnez,
accélérer,accélérant,accélérant,accéléré,avoir,accélère,accélères,accélère,accélérons,accélérez,accélèrent,accélérais,accélérais,accélérait,accélérions,accélériez,accéléraient,accélérai,accéléras,accéléra,accélérâmes,accélérâtes,accélérèrent,accélèrerai;accélérerai,accélèreras;accéléreras,accélèrera;accélérera,accélèrerons;accélérerons,accélèrerez;accélérerez,accélèreront;accéléreront,accélèrerais;accélérerais,accélèrerais;accélérerais,accélèrerait;accélérerait,accélèrerions;accélérerions,accélèreriez;accéléreriez,accélèreraient;accéléreraient,accélère,accélères,accélère,accélérions,accélériez,accélèrent,accélérasse,accélérasses,accélérât,accélérassions,accélérassiez,accélérassent,,accélère,,accélérons,accélérez,
aliéner,aliénant,aliénant,aliéné,avoir,aliène,aliènes,aliène,aliénons,aliénez,aliènent,aliénais,aliénais,aliénait,aliénions,aliéniez,aliénaient,aliénai,aliénas,aliéna,aliénâmes,aliénâtes,aliénèrent,aliènerai;aliénerai,alièneras;aliéneras,aliènera;aliénera,aliènerons;aliénerons,aliènerez;aliénerez,alièneront;aliéneront,aliènerais;aliénerais,aliènerais;aliénerais,aliènerait;aliénerait,aliènerions;aliénerions,alièneriez;aliéneriez,alièneraient;aliéneraient,aliène,aliènes,aliène,aliénions,aliéniez,aliènent,aliénasse,aliénasses,aliénât,aliénassions,aliénassiez,aliénassent,,aliène,,aliénons,aliénez,
afficher,affichant,affichant,affiché,avoir,affiche,affiches,affiche,affichons,affichez,affichent,affichais,affichais,affichait,affichions,affichiez,affichaient,affichai,affichas,afficha,affichâmes,affichâtes,affichèrent,afficherai,afficheras,affichera,afficherons,afficherez,afficheront,afficherais,afficherais,afficherait,afficherions,afficheriez,afficheraient,affiche,affiches,affiche,affichions,affichiez,affichent,affichasse,affichasses,affichât,affichassions,affichassiez,affichassent,,affiche,,affichons,affichez,
aiguillonner,aiguillonnant,aiguillonnant,aiguillonné,avoir,aiguillonne,aiguillonnes,aiguillonne,aiguillonnons,aiguillonnez,aiguillonnent,aiguillonnais,aiguillonnais,aiguillonnait,aiguillonnions,aiguillonniez,aiguillonnaient,aiguillonnai,aiguillonnas,aiguillonna,aiguillonnâmes,aiguillonnâtes,aiguillonnèrent,aiguillonnerai,aiguillonneras,aiguillonnera,aiguillonnerons,aiguillonnerez,aiguillonneront,aiguillonnerais,aiguillonnerais,aiguillonnerait,aiguillonnerions,aiguillonneriez,aiguillonneraient,aiguillonne,aiguillonnes,aiguillonne,aiguillonnions,aiguillonniez,aiguillonnent,aiguillonnasse,aiguillonnasses,aiguillonnât,aiguillonnassions,aiguillonnassiez,aiguillonnassent,,aiguillonne,,aiguillonnons,aiguillonnez,
aboucher,abouchant,abouchant,abouché,avoir,abouche,abouches,abouche,abouchons,abouchez,abouchent,abouchais,abouchais,abouchait,abouchions,abouchiez,abouchaient,abouchai,abouchas,aboucha,abouchâmes,abouchâtes,abouchèrent,aboucherai,aboucheras,abouchera,aboucherons,aboucherez,aboucheront,aboucherais,aboucherais,aboucherait,aboucherions,aboucheriez,aboucheraient,abouche,abouches,abouche,abouchions,abouchiez,abouchent,abouchasse,abouchasses,abouchât,abouchassions,abouchassiez,abouchassent,,abouche,,abouchons,abouchez,
abaisser,abaissant,abaissant,abaissé,avoir,abaisse,abaisses,abaisse,abaissons,abaissez,abaissent,abaissais,abaissais,abaissait,abaissions,abaissiez,abaissaient,abaissai,abaissas,abaissa,abaissâmes,abaissâtes,abaissèrent,abaisserai,abaisseras,abaissera,abaisserons,abaisserez,abaisseront,abaisserais,abaisserais,abaisserait,abaisserions,abaisseriez,abaisseraient,abaisse,abaisses,abaisse,abaissions,abaissiez,abaissent,abaissasse,abaissasses,abaissât,abaissassions,abaissassiez,abaissassent,,abaisse,,abaissons,abaissez,
abroger,abrogeant,abrogeant,abrogé,avoir,abroge,abroges,abroge,abrogeons,abrogez,abrogent,abrogeais,abrogeais,abrogeait,abrogions,abrogiez,abrogeaient,abrogeai,abrogeas,abrogea,abrogeâmes,abrogeâtes,abrogèrent,abrogerai,abrogeras,abrogera,abrogerons,abrogerez,abrogeront,abrogerais,abrogerais,abrogerait,abrogerions,abrogeriez,abrogeraient,abroge,abroges,abroge,abrogions,abrogiez,abrogent,abrogeasse,abrogeasses,abrogeât,abrogeassions,abrogeassiez,abrogeassent,,abroge,,abrogeons,abrogez,
